class,text
Neutral,=@VirginAmerica What @dhepburn said.
Pos,@VirginAmerica plus you've added commercials to the experience... tacky.
Neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!
Neg,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
Neg,@VirginAmerica and it's a really big bad thing about it
Neg,@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying VA
Pos,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
Neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
Pos,"@virginamerica Well, I didn't…but NOW I DO! :-D"
Pos,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
Neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
Pos,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
Pos,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
Pos,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
Pos,@VirginAmerica Thanks!
Neg,=@VirginAmerica SFO-PDX schedule is still MIA.
Pos,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
Neg,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
Pos,I ❤️ flying @VirginAmerica. ☺️👍
Pos,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
Neg,=@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
Pos,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
Pos,=@VirginAmerica I love the hipster innovation. you are a feel good brand.
Neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
Neg,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
Neg,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
Neg,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
Neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
Neg,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
Neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maNeutralver. #sendambien #andchexmix
Neg,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems😢"
Neutral,=@VirginAmerica are the hours of operation for the Club at SFO that are posted online current?
Neg,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
Neg,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
